Taxon ID,Genome ID,Genome Name,Antibiotic,Resistant Phenotype,Measurement,Measurement Sign,Measurement Value,Measurement Unit,Laboratory Typing Method,Laboratory Typing Method Version,Laboratory Typing Platform,Vendor,Testing Standard,Testing Standard Year,Computational Method,Computational Method Version,Computational Method Performance,Evidence,Source,PubMed
287,287.9072,Pseudomonas aeruginosa strain DMC-27b,ciprofloxacin,Resistant,,,,,,,,,,,SIR XGBoost Model,202503101,"F1 score: 0.91, CI[0.88, 0.95]",Computational Method,,
287,287.3356,Pseudomonas aeruginosa SHNIBPS206,ciprofloxacin,,8,,8,mg/L,,,,,,,MIC XGBoost Model,202503101,"W1 score: 0.68, CI[0.53, 0.84]",Computational Method,,
287,287.3356,Pseudomonas aeruginosa SHNIBPS206,ceftazidime,Resistant,,,,,,,,,,,SIR XGBoost Model,202503101,"F1 score: 0.75, CI[0.70, 0.81]",Computational Method,,
287,287.13267,Pseudomonas aeruginosa strain SRS1,levofloxacin,,16,,16,mg/L,,,,,,,MIC XGBoost Model,202503101,"W1 score: 0.66, CI[0.59, 0.73]",Computational Method,,
287,287.3356,Pseudomonas aeruginosa SHNIBPS206,ceftazidime/avibactam,Susceptible,,,,,,,,,,,SIR XGBoost Model,202503101,"F1 score: 0.81, CI[0.73, 0.88]",Computational Method,,
287,287.9072,Pseudomonas aeruginosa strain DMC-27b,levofloxacin,Resistant,,,,,,,,,,,SIR XGBoost Model,202503101,"F1 score: 0.91, CI[0.88, 0.94]",Computational Method,,
287,287.14718,Pseudomonas aeruginosa strain DMC-20C,levofloxacin,Resistant,,,,,,,,PATRIC,,,AdaBoost Classifier,,"Accuracy:0.845, F1 score:0.852, AUC:0.898",Computational Method,,
287,287.14718,Pseudomonas aeruginosa strain DMC-20C,ceftazidime,,32,,32,mg/L,,,,,,,MIC XGBoost Model,202503101,"W1 score: 0.50, CI[0.39, 0.62]",Computational Method,,
287,287.13267,Pseudomonas aeruginosa strain SRS1,colistin,,1,,1,mg/L,,,,,,,MIC XGBoost Model,202503101,"W1 score: 0.91, CI[0.86, 0.97]",Computational Method,,
287,287.25246,Pseudomonas aeruginosa DMC30b,ciprofloxacin,,4,,4,mg/L,,,,,,,MIC XGBoost Model,202503101,"W1 score: 0.68, CI[0.53, 0.84]",Computational Method,,
287,287.25246,Pseudomonas aeruginosa DMC30b,imipenem,Resistant,,,,,,,,,,,SIR XGBoost Model,202503101,"F1 score: 0.81, CI[0.77, 0.85]",Computational Method,,
